未来志向	戦略性	最上志向	着想	収集心
達成欲	個別化	親密性	適応性	戦略性
慎重さ	原点思考	信念	規律性	共感性
回復志向	コミュニケーション	個別化	分析思考	調和性
戦略性	個別化	自我	慎重さ	活発性
戦略性	学習欲	分析思考	親密性	調和性
原点思考	調和性	公平性	適応性	最上志向
回復志向	分析思考	慎重さ	着想	個別化
最上志向	指令性	自己確信	自我	達成欲
収集心	コミュニケーション	学習欲	活発性	分析思考
学習欲	着想	収集心	個別化	未来志向
慎重さ	達成欲	原点思考	収集心	学習欲
分析思考	調和性	指令性	活発性	個別化
慎重さ	公平性	親密性	ポジティブ	最上志向
着想	分析思考	共感性	アレンジ	競争性
親密性	戦略性	達成欲	分析思考	自我
規律性	収集心	原点思考	運命思考	回復志向
包含	ポジティブ	成長促進	アレンジ	共感性
最上志向	親密性	アレンジ	未来志向	ポジティブ
回復志向	戦略性	達成欲	着想	競争性
回復志向	収集心	分析思考	信念	責任感
活発性	最上志向	自己確信	個別化	達成欲
慎重さ	調和性	収集心	学習欲	内省
着想	最上志向	収集心	戦略性	学習欲
収集心	慎重さ	調和性	回復志向	内省
未来志向	ポジティブ	個別化	戦略性	コミュニケーション
原点思考	調和性	回復志向	個別化	慎重さ
調和性	収集心	原点思考	回復志向	分析思考
慎重さ	調和性	公平性	規律性	アレンジ
達成欲	最上志向	ポジティブ	社交性	競争性
活発性	社交性	着想	ポジティブ	個別化
競争性	調和性	達成欲	分析思考	個別化
学習欲	分析思考	親密性	調和性	慎重さ
ポジティブ	適応性	運命思考	成長促進	信念
責任感	親密性	学習欲	回復志向	分析思考
調和性	回復志向	公平性	分析思考	責任感
着想	親密性	分析思考	責任感	個別化
回復志向	収集心	個別化	学習欲	分析思考
分析思考	回復志向	調和性	共感性	個別化
成長促進	親密性	調和性	回復志向	アレンジ
分析思考	責任感	収集心	アレンジ	原点思考
回復志向	アレンジ	ポジティブ	包含	学習欲
共感性	調和性	公平性	包含	回復志向
調和性	回復志向	個別化	共感性	分析思考
指令性	着想	活発性	自己確信	最上志向
内省	学習欲	収集心	回復志向	共感性
調和性	信念	原点思考	公平性	共感性
分析思考	信念	成長促進	共感性	個別化
調和性	適応性	公平性	回復志向	個別化

